"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250128,2025-01-28,239744,CME ,00,239 ,   29369,   18138,   10984,       0,    8829,   17717,     296,     419,       0,      21,       0,       0,       0,   27703,   29018,    1666,     351,     -38,     -54,      96,       0,    -151,     -83,       0,      53,       0,       0,       0,       0,       0,    -152,      13,     114,     -51,  100.0,   61.8,   37.4,    0.0,   30.1,   60.3,    1.0,    1.4,    0.0,    0.1,    0.0,    0.0,    0.0,   94.3,   98.8,    5.7,    1.2,     27,      5,      5,      0,     11,      5,.,.,      0,.,      0,      0,      0,     18,     12,    69.5,    83.8,    81.4,    96.2,    69.5,    83.8,    81.4,    96.1,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,239744,CME ,00,239 ,   29407,   18192,   10888,       0,    8980,   17800,     296,     366,       0,      21,       0,       0,       0,   27855,   29005,    1552,     402,     485,    1544,     581,       0,   -1044,     -11,       0,       0,       0,       0,       0,       0,       0,     500,     570,     -15,     -85,  100.0,   61.9,   37.0,    0.0,   30.5,   60.5,    1.0,    1.2,    0.0,    0.1,    0.0,    0.0,    0.0,   94.7,   98.6,    5.3,    1.4,     27,      5,      5,      0,     11,      5,.,.,      0,.,      0,      0,      0,     18,     12,    68.7,    83.7,    82.3,    95.9,    68.7,    83.7,    82.3,    95.9,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,239744,CME ,00,239 ,   28922,   16648,   10307,       0,   10024,   17811,     296,     366,       0,      21,       0,       0,       0,   27355,   28435,    1567,     487,    -127,    -156,     -71,       0,     -60,       5,       0,     -47,       0,      14,       0,       0,       0,    -249,     -52,     122,     -75,  100.0,   57.6,   35.6,    0.0,   34.7,   61.6,    1.0,    1.3,    0.0,    0.1,    0.0,    0.0,    0.0,   94.6,   98.3,    5.4,    1.7,     26,      4,      5,      0,     11,      5,.,.,      0,.,      0,      0,      0,     17,     12,    70.5,    84.8,    83.3,    95.6,    70.5,    84.8,    83.3,    95.6,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,239744,CME ,00,239 ,   29049,   16804,   10378,       0,   10084,   17806,     296,     413,       0,       7,       0,       0,       0,   27604,   28487,    1445,     562,     173,    -306,     436,       0,     439,      12,       0,       0,       0,       0,       0,       0,       0,     133,     448,      40,    -275,  100.0,   57.8,   35.7,    0.0,   34.7,   61.3,    1.0,    1.4,    0.0,    0.0,    0.0,    0.0,    0.0,   95.0,   98.1,    5.0,    1.9,     26,      4,      5,      0,     11,      5,.,.,      0,.,      0,      0,      0,     17,     12,    68.0,    84.4,    81.2,    95.3,    68.0,    84.4,    81.2,    95.3,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 GROWTH - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,239745,CME ,00,239 ,   11437,    2946,    7910,    1594,    5711,     721,       0,       0,     202,       1,       0,       0,       0,   10252,   10428,    1185,    1009,    2162,    1396,     200,    1594,   -1185,     298,       0,       0,       0,       1,       0,       0,       0,    1806,    2093,     356,      69,  100.0,   25.8,   69.2,   13.9,   49.9,    6.3,    0.0,    0.0,    1.8,    0.0,    0.0,    0.0,    0.0,   89.6,   91.2,   10.4,    8.8,     20,      5,      6,.,      7,.,      0,      0,.,.,      0,      0,      0,     14,      9,    57.0,    70.2,    75.4,    91.2,    48.2,    56.3,    65.2,    77.2,"(Russell 1000 Growth Index x $50)","239745","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 GROWTH - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,239745,CME ,00,239 ,    9275,    1550,    7710,       0,    6896,     423,       0,       0,     202,       0,       0,       0,       0,    8446,    8335,     829,     940,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,   16.7,   83.1,    0.0,   74.4,    4.6,    0.0,    0.0,    2.2,    0.0,    0.0,    0.0,    0.0,   91.1,   89.9,    8.9,   10.1,     20,      4,      6,      0,      8,.,      0,      0,.,      0,      0,      0,      0,     12,      8,    64.6,    67.2,    81.7,    89.9,    64.6,    67.2,    81.7,    89.9,"(Russell 1000 Growth Index x $50)","239745","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250610,2025-06-10,239747,CME ,00,239 ,   53828,    3916,   24371,       9,    1535,       0,       0,    2915,   17287,     583,     240,    3923,       0,    9198,   46173,   44630,    7655,    1516,    -117,   -5394,       9,     181,       0,       0,    -468,    6610,      10,     240,     337,       0,    -145,    1572,    1661,     -56,  100.0,    7.3,   45.3,    0.0,    2.9,    0.0,    0.0,    5.4,   32.1,    1.1,    0.4,    7.3,    0.0,   17.1,   85.8,   82.9,   14.2,     29,      4,.,.,      4,      0,      0,      6,     10,      4,.,.,      0,     18,     16,     8.7,    68.1,    12.2,    80.5,     8.6,    67.6,    12.1,    80.1,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250603,2025-06-03,239747,CME ,00,239 ,   52312,    4033,   29765,       0,    1354,       0,       0,    3383,   10677,     573,       0,    3586,       0,    9343,   44601,   42969,    7711,    3270,    1729,   -1545,       0,    -159,       0,       0,   -5492,    4879,     465,       0,    -294,      -6,   -3463,    3499,    6733,    -229,  100.0,    7.7,   56.9,    0.0,    2.6,    0.0,    0.0,    6.5,   20.4,    1.1,    0.0,    6.9,    0.0,   17.9,   85.3,   82.1,   14.7,     24,.,.,      0,      4,      0,      0,      5,      8,.,      0,.,      0,     14,     13,    11.1,    71.8,    14.8,    82.6,    11.1,    71.1,    14.8,    81.6,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250527,2025-05-27,239747,CME ,00,239 ,   49042,    2304,   31310,       0,    1513,       0,       0,    8875,    5798,     108,       0,    3880,       6,   12806,   41102,   36236,    7940,    2858,    1099,    -405,       0,    -184,       0,       0,     823,    1032,      41,       0,    1208,       0,    1779,    1876,    1079,     982,  100.0,    4.7,   63.8,    0.0,    3.1,    0.0,    0.0,   18.1,   11.8,    0.2,    0.0,    7.9,    0.0,   26.1,   83.8,   73.9,   16.2,     26,.,.,      0,      5,      0,      0,      8,      5,      4,      0,      4,.,     19,     12,    16.3,    75.0,    21.2,    82.8,    16.3,    74.9,    21.2,    82.6,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250520,2025-05-20,239747,CME ,00,239 ,   46184,    1205,   31715,       0,    1697,       0,       0,    8052,    4766,      67,       0,    2672,       6,   11027,   39226,   35157,    6958,    2699,     -61,    4419,       0,    -839,       0,       0,    2480,   -1336,     -11,    -215,    -507,       0,    1354,    2565,    1345,     134,  100.0,    2.6,   68.7,    0.0,    3.7,    0.0,    0.0,   17.4,   10.3,    0.1,    0.0,    5.8,    0.0,   23.9,   84.9,   76.1,   15.1,     23,.,.,      0,      6,      0,      0,      8,.,.,      0,.,.,     17,      9,    13.5,    80.1,    18.8,    84.9,    13.4,    80.1,    18.6,    84.8,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250513,2025-05-13,239747,CME ,00,239 ,   43485,    1266,   27296,       0,    2536,       0,       0,    5572,    6102,      78,     215,    3179,       6,    9673,   36661,   33812,    6824,    1274,    -505,    -104,       0,     263,       0,       0,     -29,    -124,       5,     215,     705,       6,     -45,     488,    1319,     786,  100.0,    2.9,   62.8,    0.0,    5.8,    0.0,    0.0,   12.8,   14.0,    0.2,    0.5,    7.3,    0.0,   22.2,   84.3,   77.8,   15.7,     23,.,.,      0,      6,      0,      0,      6,      4,.,.,.,.,     16,     11,    12.1,    74.9,    17.5,    84.1,    11.9,    74.9,    17.4,    84.1,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250506,2025-05-06,239747,CME ,00,239 ,   42211,    1771,   27400,       0,    2273,       0,       0,    5601,    6226,      73,       0,    2474,       0,    9718,   36173,   32493,    6038,    1107,    -270,   -1546,       0,    -135,       0,       0,   -7835,    2616,     -22,    -698,     507,       0,   -8960,    1555,   10067,    -448,  100.0,    4.2,   64.9,    0.0,    5.4,    0.0,    0.0,   13.3,   14.7,    0.2,    0.0,    5.9,    0.0,   23.0,   85.7,   77.0,   14.3,     24,.,.,      0,      7,      0,      0,      6,      5,.,      0,.,      0,     15,     12,    12.8,    79.2,    18.3,    85.0,    12.8,    79.2,    18.2,    85.0,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250429,2025-04-29,239747,CME ,00,239 ,   41104,    2041,   28946,       0,    2408,       0,       0,   13436,    3610,      95,     698,    1967,       0,   18678,   34618,   22426,    6486,    1001,      74,     120,       0,     -74,       0,       0,   -3360,    -381,       1,     217,     797,       0,   -3142,     537,    4143,     464,  100.0,    5.0,   70.4,    0.0,    5.9,    0.0,    0.0,   32.7,    8.8,    0.2,    1.7,    4.8,    0.0,   45.4,   84.2,   54.6,   15.8,     24,.,.,      0,      7,      0,      0,      6,.,.,.,.,      0,     16,     11,    31.1,    79.5,    39.1,    84.0,    30.9,    79.5,    39.0,    84.0,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250422,2025-04-22,239747,CME ,00,239 ,   40103,    1967,   28826,       0,    2482,       0,       0,   16796,    3991,      94,     481,    1170,       0,   21820,   34081,   18283,    6022,    5012,     117,    7597,       0,     147,       0,       0,   -3960,   -1565,       3,       0,      73,       0,   -3693,    6108,    8705,   -1096,  100.0,    4.9,   71.9,    0.0,    6.2,    0.0,    0.0,   41.9,   10.0,    0.2,    1.2,    2.9,    0.0,   54.4,   85.0,   45.6,   15.0,     23,.,.,      0,      7,      0,      0,      6,.,.,.,.,      0,     16,     10,    39.8,    80.9,    47.6,    84.9,    39.6,    80.9,    47.4,    84.7,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250415,2025-04-15,239747,CME ,00,239 ,   35091,    1850,   21229,       0,    2335,       0,       0,   20756,    5556,      91,     481,    1097,       0,   25513,   27973,    9578,    7118,    9447,     443,   10865,       0,      51,       0,       0,   10729,   -1431,       1,     -89,     897,       0,   11135,   10332,   -1688,    -885,  100.0,    5.3,   60.5,    0.0,    6.7,    0.0,    0.0,   59.1,   15.8,    0.3,    1.4,    3.1,    0.0,   72.7,   79.7,   27.3,   20.3,     25,.,.,      0,      7,      0,      0,      8,.,.,.,.,      0,     19,      9,    51.5,    76.3,    61.5,    79.7,    51.3,    76.3,    61.3,    79.5,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250408,2025-04-08,239747,CME ,00,239 ,   25644,    1407,   10364,       0,    2284,       0,       0,   10027,    6987,      90,     570,     200,       0,   14378,   17641,   11266,    8003,    6225,     388,   10364,       0,    -390,       0,       0,    6904,   -2728,      88,    -665,    -561,       0,    6325,    7163,    -100,    -938,  100.0,    5.5,   40.4,    0.0,    8.9,    0.0,    0.0,   39.1,   27.2,    0.4,    2.2,    0.8,    0.0,   56.1,   68.8,   43.9,   31.2,     24,.,.,      0,      7,      0,      0,      4,      8,.,.,.,      0,     15,     11,    40.4,    61.5,    49.2,    66.9,    40.2,    61.5,    49.0,    66.8,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250401,2025-04-01,239747,CME ,00,239 ,   19419,    1019,       0,       0,    2674,       0,       0,    3123,    9715,       2,    1235,     761,       0,    8053,   10478,   11366,    8941,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,    5.2,    0.0,    0.0,   13.8,    0.0,    0.0,   16.1,   50.0,    0.0,    6.4,    3.9,    0.0,   41.5,   54.0,   58.5,   46.0,     24,.,      0,      0,      8,      0,      0,.,      7,.,.,.,      0,     17,      8,    21.5,    44.6,    30.7,    54.0,    21.5,    44.6,    30.7,    53.9,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,239747,CME ,00,239 ,   50044,    7323,       0,      56,    1828,       0,       2,    5720,   41070,    1847,     772,    2284,      15,   17563,   45274,   32481,    4770,    4308,     357,       0,      56,    -332,   -1107,     -13,    2434,    2843,    1227,     232,     992,      14,    3975,    4012,     333,     296,  100.0,   14.6,    0.0,    0.1,    3.7,    0.0,    0.0,   11.4,   82.1,    3.7,    1.5,    4.6,    0.0,   35.1,   90.5,   64.9,    9.5,     29,.,      0,.,      5,      0,.,      6,     10,      7,.,.,.,     21,     18,    23.7,    68.2,    29.3,    82.3,    23.3,    68.0,    27.4,    82.0,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,239747,CME ,00,239 ,   45736,    6966,       0,       0,    2160,    1107,      15,    3286,   38227,     620,     540,    1292,       1,   13588,   41262,   32148,    4474,    1919,     -59,       0,       0,      11,     699,      -9,     614,    1003,     321,    -227,     772,       0,     651,    2786,    1268,    -867,  100.0,   15.2,    0.0,    0.0,    4.7,    2.4,    0.0,    7.2,   83.6,    1.4,    1.2,    2.8,    0.0,   29.7,   90.2,   70.3,    9.8,     29,.,      0,      0,      5,.,.,      6,     10,      7,.,.,.,     21,     18,    20.7,    67.5,    25.0,    81.5,    20.5,    67.5,    24.8,    81.4,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250304,2025-03-04,239747,CME ,00,239 ,   43817,    7025,       0,       0,    2149,     408,      24,    2672,   37224,     299,     767,     520,       1,   12937,   38476,   30880,    5341,    1205,    1750,       0,       0,     128,     187,       0,    1449,    2276,      93,     467,   -1731,       1,    3888,     826,   -2683,     379,  100.0,   16.0,    0.0,    0.0,    4.9,    0.9,    0.1,    6.1,   85.0,    0.7,    1.8,    1.2,    0.0,   29.5,   87.8,   70.5,   12.2,     26,.,      0,      0,      5,.,.,      4,      9,      4,.,.,.,     20,     12,    20.2,    71.2,    24.7,    83.9,    20.2,    71.2,    24.7,    83.5,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250225,2025-02-25,239747,CME ,00,239 ,   42612,    5275,       0,       0,    2021,     221,      24,    1223,   34948,     206,     300,    2251,       0,    9049,   37650,   33563,    4962,    3068,    -112,       0,       0,      99,      -4,       1,     183,    3526,    -245,    -687,    -312,       0,    -761,    2966,    3829,     102,  100.0,   12.4,    0.0,    0.0,    4.7,    0.5,    0.1,    2.9,   82.0,    0.5,    0.7,    5.3,    0.0,   21.2,   88.4,   78.8,   11.6,     27,.,      0,      0,      6,.,.,.,     11,      5,.,.,      0,     17,     16,    15.2,    63.9,    18.4,    79.7,    15.2,    63.8,    18.4,    79.7,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250218,2025-02-18,239747,CME ,00,239 ,   39544,    5387,       0,       0,    1922,     225,      23,    1040,   31422,     451,     987,    2563,       0,    9810,   34684,   29734,    4860,     412,       0,       0,       0,     132,      -3,       3,    -948,    -492,     -18,       0,     759,       0,    -831,     249,    1243,     163,  100.0,   13.6,    0.0,    0.0,    4.9,    0.6,    0.1,    2.6,   79.5,    1.1,    2.5,    6.5,    0.0,   24.8,   87.7,   75.2,   12.3,     25,.,      0,      0,      6,.,.,.,      8,      4,.,.,      0,     18,     12,    16.9,    70.5,    20.7,    83.6,    16.9,    69.8,    20.7,    82.5,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250211,2025-02-11,239747,CME ,00,239 ,   39132,    5387,       0,       0,    1790,     228,      20,    1988,   31914,     469,     987,    1804,       0,   10641,   34435,   28491,    4697,    7335,    1124,       0,       0,     457,      -1,       1,     577,    9170,      99,     687,    -886,       0,    2945,    8383,    4390,   -1048,  100.0,   13.8,    0.0,    0.0,    4.6,    0.6,    0.1,    5.1,   81.6,    1.2,    2.5,    4.6,    0.0,   27.2,   88.0,   72.8,   12.0,     25,.,      0,      0,      5,.,.,.,      8,.,.,      4,      0,     16,     13,    18.1,    71.6,    23.3,    83.1,    18.1,    70.9,    23.3,    81.9,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250204,2025-02-04,239747,CME ,00,239 ,   31797,    4263,       0,       0,    1333,     229,      19,    1411,   22744,     370,     300,    2690,       0,    7696,   26052,   24101,    5745,    1065,    -870,       0,       0,     -67,     -15,       0,     311,    -850,      58,    -564,     340,       0,   -1132,    -467,    2197,    1532,  100.0,   13.4,    0.0,    0.0,    4.2,    0.7,    0.1,    4.4,   71.5,    1.2,    0.9,    8.5,    0.0,   24.2,   81.9,   75.8,   18.1,     22,.,      0,      0,      5,.,.,.,      8,      4,.,.,      0,     15,     12,    17.8,    61.0,    21.7,    77.3,    17.8,    60.4,    21.7,    76.1,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250128,2025-01-28,239747,CME ,00,239 ,   30732,    5133,       0,       0,    1400,     244,      19,    1100,   23594,     312,     864,    2350,       0,    8828,   26519,   21904,    4213,    2456,    1244,       0,       0,      51,       5,      -5,   -3241,    3380,      -5,    -448,     298,       0,   -2404,    3673,    4860,   -1217,  100.0,   16.7,    0.0,    0.0,    4.6,    0.8,    0.1,    3.6,   76.8,    1.0,    2.8,    7.6,    0.0,   28.7,   86.3,   71.3,   13.7,     26,.,      0,      0,      5,.,.,.,      9,.,.,      4,      0,     16,     14,    20.3,    58.0,    24.7,    78.2,    20.3,    57.4,    24.7,    77.2,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,239747,CME ,00,239 ,   28276,    3889,       0,       0,    1349,     239,      24,    4341,   20214,     317,    1312,    2052,       0,   11232,   22846,   17044,    5430,    4184,     456,       0,       0,    -179,      12,     -46,    3073,    3557,      49,     -36,    -430,       0,    3317,    3142,     867,    1042,  100.0,   13.8,    0.0,    0.0,    4.8,    0.8,    0.1,   15.4,   71.5,    1.1,    4.6,    7.3,    0.0,   39.7,   80.8,   60.3,   19.2,     28,.,      0,      0,      5,.,.,.,      8,.,      4,      4,      0,     19,     13,    26.1,    54.8,    32.6,    75.6,    26.1,    54.3,    32.6,    74.5,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,239747,CME ,00,239 ,   24092,    3433,       0,       0,    1528,     227,      70,    1268,   16657,     268,    1348,    2482,       0,    7915,   19704,   16177,    4388,    1303,     620,       0,       0,      63,     227,      70,   -3855,    4653,     -25,     288,    2030,       0,   -2839,    6955,    4142,   -5652,  100.0,   14.2,    0.0,    0.0,    6.3,    0.9,    0.3,    5.3,   69.1,    1.1,    5.6,   10.3,    0.0,   32.9,   81.8,   67.1,   18.2,     26,.,      0,      0,      5,.,.,.,      9,      4,      4,.,      0,     19,     12,    18.3,    48.6,    25.0,    76.3,    18.3,    47.9,    25.0,    75.2,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
